Count,lat,lng,Color,Header,k_population,Delay,Delay with DST,#1_%aft7:00,#1 hour,#2_%aft7:00,#2 hour,#3_%aft7:00,#3 hour,#4_%aft7:00,#4 hour,#5_%aft7:00,#5 hour,B_Delay,B_Delay with DST,B_#1_%aft7:00,B_#1 hour,B_#2_%aft7:00,B_#2 hour,B_#3_%aft7:00,B_#3 hour,B_#4_%aft7:00,B_#4 hour,B_#5_%aft7:00,B_#5 hour,change_flag,B_FIPS - county,B_T/zone,FIPS - county,T/zone,population
1,0,0,2,"Autauga, AL",58 k,-13,47,0%,6:50,0%,6:50,1%,7:00,3%,7:05,38%,7:50,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
2,0,0,2,"Baldwin, AL",227 k,-9,51,0%,6:50,0%,6:50,1%,7:05,5%,7:10,39%,7:50,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
3,0,0,2,"Barbour, AL",25 k,-18,42,0%,6:40,0%,6:40,0%,6:55,0%,7:00,34%,7:40,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
4,0,0,2,"Bibb, AL",22 k,-11,49,0%,6:50,0%,6:50,1%,7:05,4%,7:05,39%,7:50,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
5,0,0,2,"Blount, AL",59 k,-14,46,0%,6:50,0%,6:50,1%,7:05,4%,7:05,38%,7:50,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
6,0,0,2,"Bullock, AL",10 k,-17,43,0%,6:45,0%,6:45,0%,6:55,1%,7:00,35%,7:45,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
7,0,0,2,"Butler, AL",19 k,-13,47,0%,6:45,0%,6:45,0%,7:00,2%,7:05,37%,7:45,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
8,0,0,2,"Calhoun, AL",116 k,-17,43,0%,6:50,0%,6:50,0%,7:00,2%,7:05,36%,7:50,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
9,0,0,2,"Chambers, AL",35 k,-18,42,0%,6:45,0%,6:45,0%,6:55,1%,7:00,35%,7:45,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
10,0,0,2,"Cherokee, AL",25 k,-18,42,0%,6:50,0%,6:50,0%,7:00,2%,7:05,36%,7:50,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
11,0,0,2,"Chilton, AL",45 k,-13,47,0%,6:50,0%,6:50,1%,7:00,3%,7:05,38%,7:50,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
12,0,0,2,"Choctaw, AL",13 k,-7,53,0%,6:55,0%,6:55,2%,7:05,6%,7:10,41%,7:55,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
13,0,0,2,"Clarke, AL",23 k,-9,51,0%,6:50,0%,6:50,2%,7:05,5%,7:10,40%,7:50,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
14,0,0,2,"Clay, AL",14 k,-17,43,0%,6:50,0%,6:50,0%,7:00,2%,7:05,36%,7:50,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
15,0,0,2,"Cleburne, AL",15 k,-18,42,0%,6:45,0%,6:45,0%,7:00,1%,7:00,36%,7:45,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
16,0,0,2,"Coffee, AL",53 k,-16,44,0%,6:45,0%,6:45,0%,6:55,1%,7:00,35%,7:45,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
17,0,0,2,"Colbert, AL",57 k,-9,51,0%,7:00,0%,7:00,3%,7:10,6%,7:15,41%,8:00,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
18,0,0,2,"Conecuh, AL",12 k,-12,48,0%,6:50,0%,6:50,1%,7:00,3%,7:05,38%,7:50,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
19,0,0,2,"Coosa, AL",10 k,-15,45,0%,6:50,0%,6:50,0%,7:00,2%,7:05,37%,7:50,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
20,0,0,2,"Covington, AL",37 k,-14,46,0%,6:45,0%,6:45,0%,7:00,2%,7:05,36%,7:45,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
21,0,0,2,"Crenshaw, AL",13 k,-15,45,0%,6:45,0%,6:45,0%,7:00,2%,7:05,36%,7:45,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
22,0,0,2,"Cullman, AL",87 k,-13,47,0%,6:55,0%,6:55,1%,7:05,4%,7:10,38%,7:55,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
23,0,0,2,"Dale, AL",49 k,-18,42,0%,6:40,0%,6:40,0%,6:55,0%,7:00,35%,7:40,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
24,0,0,2,"Dallas, AL",39 k,-12,48,0%,6:50,0%,6:50,1%,7:05,4%,7:05,38%,7:50,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
25,0,0,2,"DeKalb, AL",72 k,-17,43,0%,6:50,0%,6:50,0%,7:00,2%,7:05,36%,7:50,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
26,0,0,2,"Elmore, AL",87 k,-15,45,0%,6:45,0%,6:45,0%,7:00,2%,7:05,36%,7:45,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
27,0,0,2,"Escambia, AL",37 k,-11,49,0%,6:50,0%,6:50,1%,7:00,3%,7:05,38%,7:50,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
28,0,0,2,"Etowah, AL",103 k,-16,44,0%,6:50,0%,6:50,0%,7:00,2%,7:05,37%,7:50,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
29,0,0,2,"Fayette, AL",16 k,-9,51,0%,6:55,0%,6:55,2%,7:05,6%,7:10,40%,7:55,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
30,0,0,2,"Franklin, AL",32 k,-9,51,0%,7:00,0%,7:00,3%,7:10,6%,7:10,41%,8:00,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
31,0,0,2,"Geneva, AL",27 k,-17,43,0%,6:40,0%,6:40,0%,6:55,1%,7:00,35%,7:40,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
32,0,0,2,"Greene, AL",8 k,-8,52,0%,6:55,0%,6:55,2%,7:05,6%,7:10,41%,7:55,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
33,0,0,2,"Hale, AL",15 k,-9,51,0%,6:55,0%,6:55,2%,7:05,5%,7:10,40%,7:55,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
34,0,0,2,"Henry, AL",17 k,-19,41,0%,6:40,0%,6:40,0%,6:55,0%,7:00,34%,7:40,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
35,0,0,2,"Houston, AL",106 k,-19,41,0%,6:40,0%,6:40,0%,6:55,0%,7:00,34%,7:40,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
36,0,0,2,"Jackson, AL",53 k,-16,44,0%,6:50,0%,6:50,1%,7:00,2%,7:05,37%,7:50,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
37,0,0,2,"Jefferson, AL",673 k,-12,48,0%,6:50,0%,6:50,1%,7:05,4%,7:05,38%,7:50,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
38,0,0,2,"Lamar, AL",14 k,-8,52,0%,7:00,0%,7:00,3%,7:10,7%,7:10,41%,8:00,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
39,0,0,2,"Lauderdale, AL",93 k,-9,51,0%,7:00,0%,7:00,3%,7:10,6%,7:10,41%,8:00,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
40,0,0,2,"Lawrence, AL",33 k,-11,49,0%,6:55,0%,6:55,2%,7:05,5%,7:10,40%,7:55,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
41,0,0,2,"Lee, AL",172 k,-19,41,0%,6:45,0%,6:45,0%,6:55,0%,7:00,35%,7:45,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
42,0,0,2,"Limestone, AL",101 k,-12,48,0%,6:55,0%,6:55,2%,7:05,5%,7:10,39%,7:55,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
43,0,0,2,"Lowndes, AL",10 k,-13,47,0%,6:50,0%,6:50,0%,7:00,2%,7:05,37%,7:50,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
44,0,0,2,"Macon, AL",19 k,-17,43,0%,6:45,0%,6:45,0%,6:55,1%,7:00,35%,7:45,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
45,0,0,2,"Madison, AL",382 k,-14,46,0%,6:55,0%,6:55,1%,7:05,4%,7:10,38%,7:55,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
46,0,0,2,"Marengo, AL",19 k,-9,51,0%,6:55,0%,6:55,2%,7:05,5%,7:10,40%,7:55,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
47,0,0,2,"Marion, AL",29 k,-8,52,0%,7:00,0%,7:00,3%,7:10,6%,7:10,41%,8:00,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
48,0,0,2,"Marshall, AL",97 k,-15,45,0%,6:50,0%,6:50,1%,7:00,3%,7:05,38%,7:50,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
49,0,0,2,"Mobile, AL",415 k,-7,53,0%,6:50,0%,6:50,2%,7:05,5%,7:10,40%,7:50,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
50,0,0,2,"Monroe, AL",20 k,-11,49,0%,6:50,0%,6:50,1%,7:05,4%,7:10,39%,7:50,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
51,0,0,2,"Montgomery, AL",229 k,-15,45,0%,6:45,0%,6:45,0%,7:00,2%,7:05,36%,7:45,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
52,0,0,2,"Morgan, AL",123 k,-13,47,0%,6:55,0%,6:55,2%,7:05,4%,7:10,39%,7:55,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
53,0,0,2,"Perry, AL",9 k,-11,49,0%,6:50,0%,6:50,1%,7:05,4%,7:10,39%,7:50,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
54,0,0,2,"Pickens, AL",19 k,-8,52,0%,6:55,0%,6:55,3%,7:10,6%,7:10,41%,7:55,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
55,0,0,2,"Pike, AL",33 k,-16,44,0%,6:45,0%,6:45,0%,7:00,1%,7:00,36%,7:45,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
56,0,0,2,"Randolph, AL",22 k,-18,42,0%,6:45,0%,6:45,0%,7:00,1%,7:00,35%,7:45,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
57,0,0,2,"Russell, AL",59 k,-19,41,0%,6:45,0%,6:45,0%,6:55,0%,7:00,34%,7:45,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
58,0,0,2,"St. Clair, AL",90 k,-15,45,0%,6:50,0%,6:50,1%,7:00,3%,7:05,37%,7:50,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
59,0,0,2,"Shelby, AL",221 k,-13,47,0%,6:50,0%,6:50,1%,7:00,3%,7:05,38%,7:50,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
60,0,0,2,"Sumter, AL",12 k,-7,53,0%,6:55,0%,6:55,3%,7:10,6%,7:10,41%,7:55,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
61,0,0,2,"Talladega, AL",82 k,-15,45,0%,6:50,0%,6:50,0%,7:00,2%,7:05,37%,7:50,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
62,0,0,2,"Tallapoosa, AL",41 k,-17,43,0%,6:45,0%,6:45,0%,7:00,1%,7:00,36%,7:45,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
63,0,0,2,"Tuscaloosa, AL",224 k,-10,50,0%,6:55,0%,6:55,2%,7:05,5%,7:10,39%,7:55,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
64,0,0,2,"Walker, AL",65 k,-11,49,0%,6:55,0%,6:55,2%,7:05,5%,7:10,39%,7:55,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
65,0,0,2,"Washington, AL",16 k,-7,53,0%,6:55,0%,6:55,2%,7:05,6%,7:10,40%,7:55,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
66,0,0,2,"Wilcox, AL",11 k,-11,49,0%,6:50,0%,6:50,1%,7:05,4%,7:10,39%,7:50,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
67,0,0,2,"Winston, AL",24 k,-11,49,0%,6:55,0%,6:55,2%,7:05,5%,7:10,40%,7:55,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
98,0,0,4,"Apache, AZ",66 k,18,78,25%,7:25,25%,7:25,37%,7:35,45%,7:40,55%,8:25,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
99,0,0,5,"Cochise, AZ",125 k,19,79,22%,7:20,22%,7:20,35%,7:35,45%,7:35,57%,8:20,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
100,0,0,5,"Coconino, AZ",145 k,27,87,30%,7:40,31%,7:40,45%,7:45,55%,7:50,60%,8:40,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
101,0,0,5,"Gila, AZ",53 k,23,83,26%,7:30,27%,7:30,41%,7:40,51%,7:45,59%,8:30,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
102,0,0,5,"Graham, AZ",38 k,20,80,23%,7:25,23%,7:25,37%,7:35,46%,7:40,57%,8:25,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
103,0,0,4,"Greenlee, AZ",10 k,17,77,22%,7:20,22%,7:20,34%,7:35,43%,7:35,55%,8:20,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
105,0,0,5,"Maricopa, AZ","4,367 k",30,90,29%,7:35,33%,7:35,47%,7:45,58%,7:50,64%,8:35,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
107,0,0,5,"Navajo, AZ",107 k,21,81,26%,7:30,26%,7:30,40%,7:40,49%,7:45,57%,8:30,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
108,0,0,5,"Pima, AZ","1,035 k",27,87,27%,7:30,30%,7:30,44%,7:40,55%,7:45,62%,8:30,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
109,0,0,5,"Pinal, AZ",421 k,25,85,26%,7:30,28%,7:30,42%,7:40,53%,7:45,61%,8:30,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
110,0,0,5,"Santa Cruz, AZ",47 k,23,83,24%,7:25,26%,7:25,40%,7:35,50%,7:40,60%,8:25,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
113,0,0,3,"Arkansas, AR",17 k,5,65,16%,7:10,16%,7:10,24%,7:25,30%,7:25,48%,8:10,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
114,0,0,4,"Ashley, AR",19 k,7,67,16%,7:10,16%,7:10,24%,7:25,30%,7:25,49%,8:10,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
115,0,0,4,"Baxter, AR",41 k,9,69,21%,7:20,21%,7:20,30%,7:30,37%,7:35,50%,8:20,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
116,0,0,4,"Benton, AR",279 k,17,77,25%,7:30,25%,7:30,37%,7:35,45%,7:40,55%,8:30,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
117,0,0,4,"Boone, AR",37 k,12,72,23%,7:25,23%,7:25,33%,7:30,40%,7:35,52%,8:25,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
118,0,0,4,"Bradley, AR",11 k,9,69,17%,7:15,17%,7:15,26%,7:25,33%,7:30,50%,8:15,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
119,0,0,4,"Calhoun, AR",5 k,10,70,18%,7:15,18%,7:15,28%,7:25,35%,7:30,51%,8:15,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
120,0,0,4,"Carroll, AR",28 k,14,74,23%,7:25,23%,7:25,34%,7:35,42%,7:40,53%,8:25,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
121,0,0,3,"Chicot, AR",10 k,5,65,14%,7:10,14%,7:10,22%,7:20,28%,7:25,48%,8:10,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
122,0,0,4,"Clark, AR",22 k,13,73,20%,7:20,20%,7:20,31%,7:30,38%,7:35,53%,8:20,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
123,0,0,3,"Clay, AR",15 k,2,62,16%,7:15,16%,7:15,23%,7:20,28%,7:25,46%,8:15,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
124,0,0,4,"Cleburne, AR",25 k,8,68,19%,7:20,19%,7:20,28%,7:25,35%,7:30,50%,8:20,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
125,0,0,4,"Cleveland, AR",8 k,9,69,18%,7:15,18%,7:15,27%,7:25,33%,7:30,50%,8:15,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
126,0,0,4,"Columbia, AR",23 k,13,73,19%,7:15,19%,7:15,30%,7:30,38%,7:30,53%,8:15,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
127,0,0,4,"Conway, AR",21 k,11,71,21%,7:20,21%,7:20,30%,7:30,37%,7:35,51%,8:20,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
128,0,0,3,"Craighead, AR",110 k,3,63,16%,7:15,16%,7:15,23%,7:20,28%,7:25,47%,8:15,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
129,0,0,4,"Crawford, AR",60 k,17,77,24%,7:25,24%,7:25,36%,7:35,44%,7:40,55%,8:25,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
130,0,0,3,"Crittenden, AR",48 k,1,61,15%,7:10,15%,7:10,21%,7:20,26%,7:25,46%,8:10,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
131,0,0,3,"Cross, AR",17 k,3,63,16%,7:10,16%,7:10,23%,7:20,28%,7:25,47%,8:10,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
132,0,0,4,"Dallas, AR",7 k,11,71,19%,7:15,19%,7:15,29%,7:25,36%,7:30,51%,8:15,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
133,0,0,3,"Desha, AR",12 k,5,65,15%,7:10,15%,7:10,22%,7:20,28%,7:25,48%,8:10,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
134,0,0,4,"Drew, AR",18 k,7,67,16%,7:10,16%,7:10,24%,7:25,31%,7:25,49%,8:10,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
135,0,0,4,"Faulkner, AR",123 k,9,69,19%,7:20,19%,7:20,28%,7:30,35%,7:30,50%,8:20,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
136,0,0,4,"Franklin, AR",17 k,16,76,24%,7:25,24%,7:25,35%,7:35,43%,7:40,54%,8:25,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
137,0,0,4,"Fulton, AR",12 k,7,67,20%,7:20,20%,7:20,28%,7:25,35%,7:30,49%,8:20,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
138,0,0,4,"Garland, AR",100 k,13,73,21%,7:20,21%,7:20,32%,7:30,39%,7:35,53%,8:20,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
139,0,0,4,"Grant, AR",18 k,10,70,19%,7:15,19%,7:15,28%,7:25,35%,7:30,51%,8:15,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
140,0,0,3,"Greene, AR",46 k,2,62,16%,7:15,16%,7:15,23%,7:20,28%,7:25,47%,8:15,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
141,0,0,4,"Hempstead, AR",20 k,15,75,21%,7:20,21%,7:20,33%,7:30,41%,7:35,54%,8:20,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
142,0,0,4,"Hot Spring, AR",33 k,12,72,20%,7:20,20%,7:20,30%,7:30,38%,7:35,52%,8:20,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
143,0,0,4,"Howard, AR",13 k,16,76,22%,7:20,22%,7:20,34%,7:35,42%,7:35,55%,8:20,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
144,0,0,4,"Independence, AR",38 k,6,66,19%,7:15,19%,7:15,27%,7:25,33%,7:30,49%,8:15,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
145,0,0,4,"Izard, AR",14 k,8,68,20%,7:20,20%,7:20,28%,7:25,35%,7:30,50%,8:20,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
146,0,0,3,"Jackson, AR",17 k,5,65,18%,7:15,18%,7:15,25%,7:25,31%,7:30,48%,8:15,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
147,0,0,4,"Jefferson, AR",68 k,8,68,18%,7:15,18%,7:15,26%,7:25,33%,7:30,50%,8:15,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
148,0,0,4,"Johnson, AR",26 k,14,74,22%,7:25,22%,7:25,33%,7:35,41%,7:35,53%,8:25,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
149,0,0,4,"Lafayette, AR",6 k,14,74,21%,7:20,21%,7:20,32%,7:30,40%,7:35,54%,8:20,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
150,0,0,3,"Lawrence, AR",16 k,4,64,18%,7:15,18%,7:15,25%,7:25,31%,7:30,48%,8:15,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
151,0,0,3,"Lee, AR",9 k,3,63,15%,7:10,15%,7:10,22%,7:20,28%,7:25,47%,8:10,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
152,0,0,4,"Lincoln, AR",13 k,7,67,17%,7:15,17%,7:15,25%,7:25,32%,7:25,49%,8:15,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
153,0,0,4,"Little River, AR",12 k,17,77,22%,7:20,22%,7:20,35%,7:35,43%,7:35,55%,8:20,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
154,0,0,4,"Logan, AR",21 k,15,75,23%,7:25,23%,7:25,34%,7:35,42%,7:35,54%,8:25,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
155,0,0,4,"Lonoke, AR",74 k,8,68,18%,7:15,18%,7:15,27%,7:25,33%,7:30,50%,8:15,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
156,0,0,4,"Madison, AR",16 k,15,75,24%,7:25,24%,7:25,35%,7:35,42%,7:40,53%,8:25,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
157,0,0,4,"Marion, AR",17 k,11,71,22%,7:20,22%,7:20,31%,7:30,38%,7:35,51%,8:20,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
158,0,0,4,"Miller, AR",43 k,16,76,21%,7:20,21%,7:20,33%,7:30,41%,7:35,54%,8:20,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
159,0,0,3,"Mississippi, AR",41 k,0,60,15%,7:10,15%,7:10,21%,7:20,26%,7:25,46%,8:10,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
160,0,0,3,"Monroe, AR",7 k,5,65,16%,7:10,16%,7:10,24%,7:20,30%,7:25,48%,8:10,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,0,0,0,0,0,0
